"","plot","Pndjfm"
"1","DES1014",26.3165166121642
"2","DES1014120",26.3165166121642
"3","DES1014240",38.6948680443287
"4","DES1014360",26.3165166121642
"5","DES105",26.2553873320818
"6","DES105120",26.2553873320818
"7","DES105240",26.2553873320818
"8","DES105360",26.2553873320818
"9","DES998",24.605149263984
"10","DES998120",24.605149263984
"11","DES998240",24.605149263984
"12","DES998360",24.605149263984
"13","DIA248",48.9039747630755
"14","DIA248120",48.9039747630755
"15","DIA248240",48.9039747630755
"16","DIA248360",48.9039747630755
"17","DIA333",34.8268713875532
"18","DIA333120",34.8268713875532
"19","DIA333240",34.8268713875532
"20","DIA333360",34.8268713875532
"21","FC791",31.2065246308565
"22","FC791120",31.2065246308565
"23","FC791240",31.2065246308565
"24","FC791360",31.2065246308565
"25","FC795",30.9105300113042
"26","FC795120",30.9105300113042
"27","FC795240",30.9105300113042
"28","FC795360",30.9105300113042
"29","NP342",27.570091412584
"30","NP342120",27.570091412584
"31","NP342240",27.570091412584
"32","NP342360",27.570091412584
"33","NPELECTRICEEL",33.010601897939
"34","NPELECTRICEEL120",33.010601897939
"35","NPELECTRICEEL240",33.010601897939
"36","NPELECTRICEEL360",33.010601897939
"37","RAV339",29.1032352746725
"38","RAV339120",29.1032352746725
"39","RAV339240",29.1032352746725
"40","RAV339360",29.1032352746725
"41","RAV358",29.1032352746725
"42","RAV358120",29.1032352746725
"43","RAV358240",29.1032352746725
"44","RAV358360",29.1032352746725
"45","ROB926",33.8733551584005
"46","ROB926120",33.8733551584005
"47","ROB926240",33.8733551584005
"48","ROB926360",33.8733551584005
"49","ROB938",51.8659531342983
"50","ROB938120",51.8659531342983
"51","ROB938240",51.8659531342983
"52","ROB938360",51.8659531342983
"53","SHO424",43.8216040058136
"54","SHO424120",43.8216040058136
"55","SHO424240",43.8216040058136
"56","SHO424360",43.8216040058136
"57","SHO446",54.0821882712205
"58","SHO446120",54.0821882712205
"59","SHO446240",54.0821882712205
"60","SHO446360",54.0821882712205
"61","SPR1575",35.9636059501807
"62","SPR1575120",35.9636059501807
"63","SPR1575240",35.9636059501807
"64","SPR1575360",35.9636059501807
"65","SPR1620",35.9735967466036
"66","SPR1620120",35.9735967466036
"67","SPR1620240",35.9735967466036
"68","SPR1620360",35.9735967466036
"69","SS256",41.9477613053958
"70","SS256120",41.9477613053958
"71","SS256240",41.9477613053958
"72","SS256360",41.9477613053958
"73","SS32",35.0050101538181
"74","SS32120",35.0050101538181
"75","SS32240",35.0050101538181
"76","SS32360",35.0050101538181
"77","SS452",32.9175532967965
"78","SS452120",32.9175532967965
"79","SS452240",32.9175532967965
"80","SS452360",32.9175532967965
"81","SS604",35.2288686786572
"82","SS604120",35.2288686786572
"83","SS604240",35.2288686786572
"84","SS604360",35.2288686786572
"85","TOI1577",38.3118361027877
"86","TOI1577360",38.3118361027877
"87","TOI1596",40.4174112307072
"88","TOI1596120",40.4174112307072
"89","TOI1596240",40.4174112307072
"90","TOI1596360",40.4174112307072
"91","TOI533",32.3830526241144
"92","TOI533120",32.3830526241144
"93","TOI533240",32.3830526241144
"94","TOI533360",32.3830526241144
"95","WHIS25",30.8803040562789
"96","WHIS25120",30.8803040562789
"97","WHIS25240",30.8803040562789
"98","WHIS25360",30.8803040562789
"99","WHIS64",36.1281132507722
"100","WHIS64120",36.1281132507722
"101","WHIS64240",36.1281132507722
"102","WHIS64360",36.1281132507722
