"","(Intercept)","Avg_depth","avg_Diam","avg_ENN","avg_height","avg_summer_tmax","AWC","BA.Plot","cwd_normal_cum","cwd_peak_anom","fdsi_anom","min_ann_ppt","Pct_pimo","peak_tmax","Pndjfm","ppt","tmean","vpd_normal_annual_max","vpd_peak_anom","df","logLik","AICc","delta","weight"
"12",-16.0195833077532,-2.67131356417368,1.52801891185738,-0.201156981280057,-1.20578796412442,-2.83333989943809,NA,0.37957504411284,-4.38665365971909,NA,NA,NA,-0.973402382524095,NA,NA,NA,NA,NA,NA,11,-328.838490064459,682.746747570778,0,0.438202644048306
"2058",-16.0058184900661,-2.58869210320276,1.48744321989324,-0.243135278505776,-1.3826081889815,NA,NA,0.527166525958138,-4.79350847775525,NA,NA,NA,-0.842900660932054,NA,NA,NA,NA,-2.16168624281175,NA,11,-329.578957828511,684.227683098883,1.48093552810565,0.208974805525842
"138",-16.0420521386925,-2.77783582017012,1.50290974619079,-0.0612715919711395,-1.23840594809486,NA,NA,0.627293131303568,-5.53732098511763,NA,NA,NA,-0.955228133994831,0.703152618443587,NA,NA,NA,NA,NA,11,-330.484603740339,686.038974922539,3.29222735176143,0.0844844746176877
"4106",-16.0317151555221,-2.7486317798697,1.47396979350398,-0.0551721766965324,-1.28452466472414,NA,NA,0.698435971481482,-5.57986378582132,NA,NA,NA,-0.819080248633735,NA,NA,NA,NA,NA,0.561356554698855,11,-330.561013060423,686.191793562707,3.44504599192942,0.0782695364274544
"10",-16.0417867730856,-2.80421757387063,1.49445108078519,-0.0550521812405752,-1.28275622975177,NA,NA,0.654696803924525,-5.64608123736239,NA,NA,NA,-0.914156615876004,NA,NA,NA,NA,NA,NA,10,-331.899135949304,686.327007530792,3.58025996001425,0.073152878769169
"14",-16.0417871094315,-2.75186853616247,1.44000194343691,0.064202907999818,-1.22623438924601,NA,0.45513806356517,0.67491313252411,-5.60643477792268,NA,NA,NA,-0.979143625511536,NA,NA,NA,NA,NA,NA,11,-331.075006863456,687.219781168772,4.47303359799412,0.0468131741401242
"4107",-16.0527010202387,NA,2.21270321673674,-0.780551638503541,-1.9550773463255,-3.4890905813672,NA,-0.104730368882821,-4.52568769194261,NA,NA,NA,-0.355691279266209,NA,NA,NA,NA,NA,-0.674979504622284,11,-331.873170147544,688.816107736949,6.06936016617124,0.0210731849738579
"2066",-15.9654969730702,-2.55444667210287,1.70242657998263,-0.292233240796838,-1.66176379664449,NA,NA,0.20786371319118,NA,3.07896325735743,NA,NA,-0.84673154330496,NA,NA,NA,NA,-3.01205008174647,NA,11,-332.019624097451,689.109015636763,6.36226806598495,0.0182022903220364
"11",-16.0409676397703,NA,2.18947662836567,-0.726756099188087,-1.91430415428127,-3.17946639163283,NA,-0.0194764359481638,-4.55022636929343,NA,NA,NA,-0.273611560935729,NA,NA,NA,NA,NA,NA,10,-333.397609934608,689.323955501401,6.57720793062299,0.0163475411183159
"6153",-16.0259868939338,NA,2.13590189808054,-0.833782139943565,-2.12148852937646,NA,NA,0.0568202025826924,-4.82314431784749,NA,NA,NA,-0.244903323950389,NA,NA,NA,NA,-3.16319892423636,-0.771209664132937,11,-332.248439737458,689.566646916776,6.81989934599858,0.0144794700572068
